playlist_id,track_ids
7,4492 13076 734 2273 15124 13158 6615 14433 15908 6099
25,10839 16830 19357 6063 800 11372 11878 6339 5620 9568
29,5098 5925 5201 8932 6408 12623 10825 4804 13803 9706
34,1647 13079 3594 540 14222 545 2715 7510 1973 11710
50,8133 12963 19465 8044 6189 15954 10744 1018 2945 2232
52,3585 369 10377 17520 2692 11945 17669 16293 15913 423
60,13374 17192 8662 7701 11702 10201 1948 694 9467 18475
64,9909 3751 14128 3924 12753 17746 10089 7405 13180 8736
77,13076 14498 1970 2750 17464 15826 14724 7478 2273 1093
80,2988 4532 10203 3119 16391 14683 16662 9594 5415 18382
106,1328 10768 2700 1591 10016 5046 19244 15023 19216 9792
138,14210 12835 19053 2836 829 18011 18164 5882 14622 372
143,19064 10507 6794 17768 19160 410 14995 15449 1149 1523
149,4569 42 5978 7610 15314 17432 15570 12497 19783 12182
169,6296 15234 14424 16334 9965 20439 7399 7593 12974 2338
180,20571 18349 9034 11155 9432 13165 5833 8982 5413 8570
210,16772 7326 4266 19217 18503 15735 13824 15666 15653 2006
231,7264 10513 12485 4581 3433 18448 911 3749 5905 17608
241,19773 10913 5273 13312 4496 7744 920 20016 11976 16225
244,16760 8058 4186 9526 5251 10391 3190 20084 9397 4515
256,6943 20130 6606 17664 393 3045 14472 3175 4640 8431
258,6781 204 3967 17671 13213 4632 2046 3252 1382 6059
265,8155 11200 16009 11243 13032 5664 14180 11696 3067 20591
268,1277 17511 4581 11670 5098 8942 14149 11759 18448 8892
271,8421 14306 19781 9518 9988 16208 15949 19001 9752 8581
272,6598 13875 17635 10244 15988 1181 14572 13609 7961 18758
275,20070 5460 532 14957 16698 1719 8464 15680 5453 16760
277,2922 2989 8640 7545 20173 14170 9202 14282 1959 7356
290,16227 8502 4456 4371 2618 910 13406 19700 15282 7504
310,9269 3500 17524 10953 19846 9829 13259 8647 20046 12625
326,12960 7475 19713 4302 443 14204 3630 5831 20169 9500
365,8540 4346 8872 7652 17019 16433 1588 12668 13212 12991
392,17786 18493 7267 16406 13959 5997 6933 1393 10169 13548
407,9445 5818 17932 16351 11363 9380 11550 17370 15593 2657
413,10172 13005 3007 20135 4688 9424 15434 16340 10055 18304
422,3256 8640 508 533 20095 4089 12771 2922 7081 12177
432,13934 11263 19596 7931 10230 18763 11604 16879 12698 15989
